"","factor_list","n","cv","co-efficients","p-values","RMSE","RSS","adjR","model_p_sign"
"527","Q3 Q4 xYield_NYXRSA xYield_TB3MS xYield_UMCSENT","6","cv 7","0.0136899924086456, -0.0170873064200275, -0.0172886913267518, 0.513871423253567, 0.00669429353964812, 0.0616340092195639","2.40261705910933e-08, 3.51098585760353e-05, 7.07205779127984e-06, 6.79984528734344e-08, 0.00413457624659758, 0.0244174593523995","0.0100972901109466","0.00740946131006187","0.636045533780758","1.3175765515576e-11"
"528","Q3 Q4 xYield_NYXRSA xYield_TB3MS xYield_UMCSENT","6","cv 8","0.00951446772525739, -0.011484278859745, -0.0135536938993346, 0.625601578675667, 0.00948060102998116, 0.0381205400717586","7.44990777353711e-07, 2.58655532286163e-05, 1.2993512484702e-05, 1.0184138193036e-13, 3.0506561437409e-05, 0.062773203412463","0.00761113570560192","0.00456763751224964","0.768848841141351","9.96979212876363e-17"
"529","Q3 Q4 xYield_NYXRSA xYield_TB3MS xYield_UMCSENT","6","cv 9","0.0141442057908424, -0.0167555957782647, -0.0182530431974041, 0.558338472577377, 0.00838130142524234, 0.0643360701103574","6.32385351960194e-09, 2.92559732248499e-06, 3.76034425849088e-06, 1.20290589285902e-09, 0.00116250089851789, 0.020703024043981","0.00950585949176191","0.0067244739335552","0.721199290987344","1.31971616136784e-14"
"530","Q3 Q4 xYield_NYXRSA xYield_TB3MS xYield_UMCSENT","6","cv 10","0.0101791384566372, -0.0144236797684592, -0.0156249035635111, 0.663572279854925, 0.00910487670414197, 0.0371869006267572","2.98033366613813e-06, 3.08242598614448e-05, 4.10798487899548e-06, 1.10612844103701e-13, 7.84942978636035e-05, 0.0951036889533606","0.00919900470563019","0.0067318919996206","0.73540196850034","3.38411188789684e-15"
"531","Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MVLOAS","6","cv 1","0.0130066914797919, -0.0236624126268036, -0.0208833148602903, 0.366556856692201, 0.0372187848494148, 0.270267212136499","9.06485255249825e-09, 5.40568754137789e-08, 6.33089835381309e-09, 8.17967928560531e-11, 0.0191058041360848, 0.000272618029367599","0.00953219405109547","0.00653209832308642","0.73052475301724","5.4449381488565e-15"
"532","Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MVLOAS","6","cv 2","0.0138197375161094, -0.0241784212502544, -0.0178524071328634, 0.407293874383979, 0.0427348862212769, 0.189563494069696","1.63226635222625e-07, 2.10953122528519e-08, 5.82697385112319e-06, 2.40473000561732e-09, 0.00680403633001716, 0.0247374973399594","0.0101570837592537","0.00764255405926489","0.7157289981258","2.18743214778723e-14"
"533","Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MVLOAS","6","cv 3","0.0136740947434029, -0.025114000848484, -0.018696904799277, 0.359105197936827, 0.0346199459581905, 0.252338176591823","9.95418777818732e-08, 5.70416765379052e-09, 1.71474108908499e-06, 8.52773646952188e-10, 0.0257095960136401, 0.00642097764188171","0.00992090659411134","0.00711024202875821","0.731117141107479","5.14174501259349e-15"
"534","Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MVLOAS","6","cv 4","0.0129453255476885, -0.0225737262848141, -0.0156576622466283, 0.403862604527956, 0.0387645735764019, 0.189302765876738","1.34676475293957e-07, 5.53919183083791e-08, 3.00596890666087e-05, 7.48546577497424e-10, 0.0207686197844896, 0.0104418994638869","0.00977649025271611","0.00690937546556685","0.741393862058544","1.8633452651061e-15"
"535","Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MVLOAS","6","cv 5","0.0107141908682787, -0.0201963666756596, -0.0153910578053895, 0.439523657673156, 0.0174750144512464, 0.154495365878386","2.00589556638603e-09, 1.80735983020857e-09, 7.10163616199698e-07, 1.15402650375219e-14, 0.171168757421021, 0.0108833461834664","0.00755582542814419","0.00436404935008492","0.789056105335252","9.12547545189353e-18"
"536","Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MVLOAS","6","cv 6","0.0103871369306076, -0.0229302517471884, -0.0181246417796658, 0.443781789153979, 0.0114215258642115, 0.19427265534503","8.16737298779574e-10, 4.27336898737519e-12, 3.05852912510133e-10, 1.9229301274466e-14, 0.299507032925715, 0.000465123741275937","0.00685180691932077","0.00341038626056352","0.84002926917931","6.48418248349809e-21"
"537","Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MVLOAS","6","cv 7","0.0124075826220008, -0.025123106766918, -0.0167590119270394, 0.488202830283264, 0.00480165698614721, 0.191410871089043","6.27734078571453e-09, 8.54893502408975e-10, 6.83778625665698e-07, 5.52008365172764e-15, 0.706964109092905, 0.00906578988348758","0.00897320406604347","0.00623305342796578","0.767799767939291","1.12213333972554e-16"
"538","Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MVLOAS","6","cv 8","0.0098621454703855, -0.0223649935591521, -0.0183053600866731, 0.454135827403611, 0.0291384581268785, 0.266599776531951","1.82885200338397e-06, 7.21399270439936e-09, 7.01978776974497e-08, 8.20975953344125e-15, 0.0344561875784695, 0.000376458154103059","0.0088697871108029","0.00572220424560544","0.81068273436529","5.37563571358457e-19"
"539","Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MVLOAS","6","cv 9","0.0110787507680088, -0.0175655341292491, -0.013868314388141, 0.340794224107588, 0.0593029884447465, 0.22612370187616","1.62880291115214e-08, 4.09194155292436e-07, 2.44933939053497e-05, 6.26728462990149e-10, 7.83150432035615e-05, 0.000570724288568832","0.0081711894658811","0.00484459260000993","0.742078372468795","1.73899426882794e-15"
"540","Q3 Q4 xYield_CASTHPI xYield_GS10 xYield_MVLOAS","6","cv 10","0.0119604031386936, -0.023022435979637, -0.0182666699357987, 0.470764662599352, 0.0294533868017053, 0.224347863019118","3.511267659688e-08, 4.60019705303798e-09, 1.77680439700852e-07, 6.37045887580198e-12, 0.0248329876358352, 0.00220570922393105","0.00893055417997306","0.00606506314949205","0.778458539137595","3.28761793227341e-17"
