,mindex,n,predictors,rsquare,adjr,adjrRound,predrsq,cp,cpd,aic,sbic,sbc,msep,fpe,apc,hsp
13472,2845,5,xYield_GS10 xYield_MSPNHSUS xYield_SDXRSA xYield_UMCSENT xYield_USSLIND,0.555812035,0.528727403,0.53,0.313649513,245.755086,241,-502.1367733,-761.6435603,-484.7954156,0.000191379,0.000190379,0.509191082,2.20E-06
13871,2846,5,xYield_CASTHPI xYield_GS10 xYield_SDXRSA xYield_UMCSENT xYield_USSLIND,0.555469546,0.52836403,0.53,0.195101748,246.0031735,241,-502.0689475,-761.5788756,-484.7275898,0.000191527,0.000190526,0.509583691,2.20E-06
13846,2847,5,xYield_CASTHPI xYield_GS10 xYield_MVLOAS xYield_NYXRSA xYield_POPTHM,0.555418269,0.528309627,0.53,0.459428232,246.0403165,241,-502.0587973,-761.5691953,-484.7174396,0.000191549,0.000190548,0.509642472,2.20E-06
13675,2848,5,Q3 xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA,0.555354708,0.52824219,0.53,0.426668199,246.0863583,241,-502.0462169,-761.5571972,-484.7048592,0.000191576,0.000190575,0.509715335,2.20E-06
14141,2849,5,xYield_MSPNHSUS xYield_MVLOAS xYield_POPTHM xYield_SDXRSA xYield_UMCSENT,0.555302848,0.528187168,0.53,0.479186858,246.1239239,241,-502.0359539,-761.5474092,-484.6945962,0.000191599,0.000190598,0.509774784,2.20E-06
13378,2850,5,xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_POPTHM xYield_TB3MS,0.55510938,0.527981903,0.53,0.3684572,246.2640661,241,-501.9976772,-761.5109035,-484.6563195,0.000191682,0.00019068,0.509996565,2.20E-06
13831,2851,5,Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MVLOAS xYield_SDXRSA,0.554897236,0.527756823,0.53,0.454525719,246.4177361,241,-501.9557248,-761.4708914,-484.6143671,0.000191774,0.000190771,0.510239754,2.20E-06
14068,5996,6,xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_POPTHM xYield_SDXRSA xYield_USSLIND,0.556567325,0.52372046,0.52,0.256118184,247.2079785,241,-500.2865345,-761.2384465,-480.46784,0.00019583,0.000194449,0.520075359,2.25E-06
14092,12782,8,Q1 Q3 Q4 xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_TB3MS xYield_UMCSENT,0.560253823,0.515722565,0.52,0.431799216,248.5376012,241,-497.0211846,-760.8292329,-472.2478164,0.000204224,0.000201876,0.539941508,2.35E-06
13549,176,3,xYield_MVLOAS xYield_SDXRSA xYield_TB3MS,0.551754277,0.535745501,0.54,0.506356196,244.6943915,242,-505.336523,-761.964324,-492.949839,0.000183987,0.000183554,0.490935792,2.12E-06
13707,924,4,Q3 xYield_GS10 xYield_MSPNHSUS xYield_NYXRSA,0.553313448,0.531786385,0.53,0.479223236,245.5649796,242,-503.6431545,-761.7166904,-488.7791336,0.000187818,0.000187131,0.500504209,2.16E-06
13557,925,4,Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_UMCSENT,0.55328711,0.531758778,0.53,0.423154015,245.5840579,242,-503.6379659,-761.7117088,-488.773945,0.00018783,0.000187142,0.50053372,2.16E-06
13496,926,4,Q3 xYield_NYXRSA xYield_POPTHM xYield_USSLIND,0.552914547,0.53136826,0.53,0.433964931,245.8539307,242,-503.5646035,-761.6412727,-488.7005826,0.000187986,0.000187299,0.500951171,2.16E-06
13988,2852,5,Q4 xYield_CASTHPI xYield_GS10 xYield_POPTHM xYield_USSLIND,0.554778105,0.527630428,0.53,0.254521239,246.5040308,242,-501.9321749,-761.4484303,-484.5908172,0.000191825,0.000190822,0.510376319,2.21E-06
14113,2853,5,Q4 xYield_CASTHPI xYield_POPTHM xYield_SDXRSA xYield_USSLIND,0.554762889,0.527614285,0.53,0.294465886,246.5150525,242,-501.9291675,-761.4455619,-484.5878098,0.000191831,0.000190829,0.510393761,2.21E-06
13384,2854,5,xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_SDXRSA xYield_USSLIND,0.554700066,0.527547631,0.53,0.478186936,246.5605591,242,-501.9167517,-761.4337199,-484.575394,0.000191859,0.000190856,0.510465778,2.21E-06
13629,2855,5,xYield_CASTHPI xYield_CPALTT01USQ657N xYield_SDXRSA xYield_UMCSENT xYield_USSLIND,0.554300805,0.527124025,0.53,0.042230744,246.8497709,242,-501.8378851,-761.3584971,-484.4965274,0.000192031,0.000191027,0.510923468,2.21E-06
13536,2856,5,xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_SDXRSA xYield_UMCSENT,0.554231529,0.527050524,0.53,0.350636914,246.8999524,242,-501.8242081,-761.3454516,-484.4828504,0.00019206,0.000191057,0.511002882,2.21E-06
14448,2857,5,xYield_CASTHPI xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_SDXRSA,0.55403631,0.526843402,0.53,0.456552163,247.0413621,242,-501.7856781,-761.3087004,-484.4443204,0.000192145,0.00019114,0.511226669,2.21E-06
14193,2858,5,xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_POPTHM xYield_UMCSENT,0.553915849,0.526715596,0.53,0.404112199,247.1286201,242,-501.7619113,-761.2860304,-484.4205536,0.000192196,0.000191192,0.511364758,2.21E-06
14025,2859,5,Q4 xYield_CASTHPI xYield_MVLOAS xYield_SDXRSA xYield_USSLIND,0.55375676,0.526546806,0.53,0.35994491,247.243859,242,-501.730533,-761.2560999,-484.3891753,0.000192265,0.00019126,0.511547129,2.21E-06
14572,2860,5,xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_SDXRSA xYield_USSLIND,0.553671671,0.526456529,0.53,0.325384956,247.3054946,242,-501.7137549,-761.2400957,-484.3723972,0.000192302,0.000191297,0.51164467,2.21E-06
13387,2861,5,xYield_CPALTT01USQ657N xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA,0.553667422,0.52645202,0.53,0.435087438,247.3085728,242,-501.7129171,-761.2392965,-484.3715594,0.000192303,0.000191298,0.511649541,2.21E-06
13893,2862,5,xYield_MSPNHSUS xYield_MVLOAS xYield_SDXRSA xYield_UMCSENT xYield_USSLIND,0.553521442,0.526297139,0.53,0.386609054,247.4143158,242,-501.6841401,-761.2118465,-484.3427824,0.000192366,0.000191361,0.511816884,2.21E-06
13526,2863,5,xYield_GS10 xYield_MVLOAS xYield_SDXRSA xYield_UMCSENT xYield_USSLIND,0.55343584,0.526206318,0.53,0.282701982,247.4763228,242,-501.6672698,-761.1957539,-484.3259121,0.000192403,0.000191398,0.511915013,2.21E-06
13469,5997,6,xYield_CASTHPI xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_USSLIND,0.556041571,0.523155761,0.52,0.389468155,247.5888175,242,-500.1822594,-761.1396561,-480.3635649,0.000196063,0.000194679,0.520691985,2.25E-06
13647,5998,6,xYield_CASTHPI xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_POPTHM xYield_USSLIND,0.555978132,0.523087623,0.52,0.422170413,247.6347709,242,-500.1696856,-761.1277431,-480.3509911,0.000196091,0.000194707,0.520766389,2.25E-06
13715,5999,6,xYield_CASTHPI xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_SDXRSA xYield_USSLIND,0.555070581,0.522112846,0.52,0.465892213,248.2921707,242,-499.9900031,-760.957496,-480.1713085,0.000196491,0.000195105,0.5218308,2.26E-06
13380,6000,6,xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA,0.554990092,0.522026395,0.52,0.422877025,248.3504741,242,-499.9740851,-760.942413,-480.1553906,0.000196527,0.00019514,0.521925201,2.26E-06
14022,177,3,xYield_CASTHPI xYield_NYXRSA xYield_UMCSENT,0.550446042,0.534390543,0.53,0.480033963,245.6420339,243,-505.0800632,-761.7164748,-492.6933791,0.000184524,0.00018409,0.492368621,2.12E-06
14178,178,3,xYield_GS10 xYield_NYXRSA xYield_TB3MS,0.549518494,0.533429869,0.53,0.462525749,246.3139189,243,-504.8986831,-761.5411709,-492.5119991,0.000184904,0.000184469,0.493384507,2.13E-06
14148,927,4,Q4 xYield_CASTHPI xYield_UMCSENT xYield_USSLIND,0.551932228,0.5303386,0.53,0.081337066,246.56549,243,-503.3714654,-761.4558279,-488.5074445,0.000188399,0.00018771,0.502051841,2.17E-06
13600,928,4,xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_TB3MS,0.551623559,0.530015056,0.53,0.368253851,246.7890791,243,-503.3108641,-761.3976375,-488.4468433,0.000188529,0.000187839,0.502397699,2.17E-06
13832,929,4,Q3 xYield_GS10 xYield_MVLOAS xYield_NYXRSA,0.551511877,0.529897992,0.53,0.484378556,246.8699779,243,-503.2889477,-761.3765925,-488.4249269,0.000188576,0.000187886,0.502522836,2.17E-06
13493,930,4,Q4 xYield_POPTHM xYield_SDXRSA xYield_USSLIND,0.551065808,0.529430425,0.53,0.309581963,247.193096,243,-503.2014658,-761.2925872,-488.3374449,0.000188764,0.000188073,0.503022649,2.17E-06
14031,931,4,Q4 xYield_GS10 xYield_NYXRSA xYield_POPTHM,0.55106213,0.52942657,0.53,0.475130452,247.19576,243,-503.2007449,-761.2918949,-488.336724,0.000188765,0.000188075,0.50302677,2.17E-06
13799,932,4,xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_NYXRSA xYield_SDXRSA,0.550693113,0.529039769,0.53,0.370867342,247.4630638,243,-503.1284405,-761.2224616,-488.2644196,0.00018892,0.000188229,0.503440247,2.17E-06
13969,2864,5,xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_MVLOAS xYield_SDXRSA xYield_UMCSENT,0.553316133,0.526079312,0.53,0.349141864,247.5630348,243,-501.6436834,-761.1732547,-484.3023257,0.000192455,0.000191449,0.512052238,2.21E-06
14005,2865,5,xYield_CASTHPI xYield_CPALTT01USQ657N xYield_MSPNHSUS xYield_NYXRSA xYield_SDXRSA,0.553132463,0.525884442,0.53,0.363615725,247.6960793,243,-501.6075065,-761.1387448,-484.2661488,0.000192534,0.000191528,0.512262786,2.21E-06
13419,2866,5,xYield_CASTHPI xYield_GS10 xYield_MSPNHSUS xYield_POPTHM xYield_SDXRSA,0.553067196,0.525815196,0.53,0.450203972,247.7433563,243,-501.5946547,-761.1264851,-484.253297,0.000192562,0.000191556,0.512337604,2.21E-06
