,test2_z.date,scaled.BL_yFYield_CSUSHPINSA,scaled.yFYield_CSUSHPINSA,scaled.xYield_CASTHPI,scaled.xYield_TB3MS,scaled.xYield_MSPNHSUS,scaled.xYield_MVLOAS,scaled.Q1,scaled.Q2,scaled.BL_yFYield_CSUSHPINSA,scaled.yFYield_CSUSHPINSA,scaled.xYield_CASTHPI,scaled.xYield_TB3MS,scaled.xYield_MSPNHSUS,scaled.xYield_MVLOAS,scaled.Q1,scaled.Q2,unscaled.BL_yFYield_CSUSHPINSA,unscaled.yFYield_CSUSHPINSA,unscaled.xYield_CASTHPI,unscaled.xYield_TB3MS,unscaled.xYield_MSPNHSUS,unscaled.xYield_MVLOAS,unscaled.Q1,unscaled.Q2,scaled.yFYield_CSUSHPINSA,distance
35,9/30/1997,0.568402426,-0.150056559,0.329403735,-0.11301003,-0.273701989,0.697637399,-0.581394901,-0.581394901,0.715119128,0.440359996,0.629074727,0.455011302,0.392156825,0.757298007,0.280487167,0.280487167,1,0.006126202,0.019976556,0,4.59E-04,0.025170877,0,0,0.440359996,-0.034247468
36,12/31/1997,0.568402426,0.047960214,0.237493454,-0.095873268,-0.584318154,0.548429591,-0.581394901,-0.581394901,0.715119128,0.519126025,0.593863002,0.461810613,0.27950314,0.708301519,0.280487167,0.280487167,1,0.009735478,0.017478332,0.008586525,-0.008711829,0.02232513,0,0,0.519126025,-0.065924566
37,3/31/1998,0.568402426,0.70679027,0.385742519,-0.127386923,1.614191407,-0.650341127,1.705425043,-0.581394901,0.715119128,0.760151589,0.650156315,0.449317083,0.946757042,0.257735948,0.955942409,0.280487167,1,0.021744054,0.021507907,-0.007203668,0.056197978,-5.38E-04,1,0,0.760151589,0.090065994
38,6/30/1998,0.568402426,0.71821525,0.387727186,-0.143288919,-0.845468846,0.720219343,-0.581394901,1.705425043,0.715119128,0.763687712,0.650891032,0.443031003,0.19892456,0.764305022,0.280487167,0.955942409,1,0.021952299,0.021561852,-0.015171503,-0.016422163,0.025601568,0,1,0.763687712,0.048930199
39,9/30/1998,0.568402426,0.037845797,0.556818397,-0.174500721,0.510021481,1.218128351,-0.581394901,-0.581394901,0.715119128,0.515094685,0.711174243,0.430735982,0.694981794,0.888412399,0.280487167,0.280487167,1,0.009551121,0.02615794,-0.03081045,0.023597957,0.035097874,0,0,0.515094685,0.047713125
40,12/31/1998,0.568402426,0.042601094,0.299447372,-0.348861674,-0.42183983,0.849813715,-0.581394901,-0.581394901,0.715119128,0.516990238,0.617700639,0.36359658,0.336570966,0.802285668,0.280487167,0.280487167,1,0.009637797,0.019162308,-0.118175536,-0.003914745,0.02807324,0,0,0.516990238,-0.053145302
41,3/31/1999,0.568402426,0.861316012,0.164028722,-0.041062067,0.627756213,0.606997426,1.705425043,-0.581394901,0.715119128,0.80546799,0.565145733,0.483623208,0.734918173,0.72807369,0.955942409,0.280487167,1,0.024560614,0.015481478,0.036050158,0.027074012,0.023442157,1,0,0.80546799,0.124698397
42,6/30/1999,0.568402426,0.918522037,0.228775918,-0.091874758,-0.058829688,1.270936547,-0.581394901,1.705425043,0.715119128,0.820827186,0.590478457,0.463398773,0.476543881,0.898124388,0.280487167,0.955942409,1,0.025603315,0.017241379,0.010590014,0.006802934,0.036105052,0,1,0.820827186,0.110829179
43,9/30/1999,0.568402426,0.271248979,0.434582602,-0.02487331,-0.103317962,1.108881895,-0.581394901,-0.581394901,0.715119128,0.606900228,0.668067287,0.490078008,0.45885531,0.866259432,0.280487167,0.280487167,1,0.01380539,0.022835435,0.044161677,0.005489441,0.033014285,0,0,0.606900228,0.007372395
44,12/31/1999,0.568402426,0.32508237,0.376785254,0.055808114,1.254203122,-0.068290355,-0.581394901,-0.581394901,0.715119128,0.627440634,0.6468334,0.522252665,0.895115907,0.472777251,0.280487167,0.280487167,1,0.014786618,0.021264438,0.084587813,0.045569518,0.010562817,0,0,0.627440634,0.016325593
45,3/31/2000,0.568402426,1.160458002,1.194165168,0.07561896,-0.758626922,0.423859469,1.705425043,-0.581394901,0.715119128,0.877068808,0.883793317,0.530138874,0.224037882,0.664165848,0.955942409,0.280487167,1,0.030013112,0.043481736,0.094514211,-0.013858202,0.019949282,1,0,0.877068808,0.089760916
46,6/30/2000,0.568402426,0.973684876,0.587840271,-0.04310974,-0.537582146,1.950024866,-0.581394901,1.705425043,0.715119128,0.834893486,0.721680245,0.482807028,0.295432779,0.974413422,0.280487167,0.955942409,1,0.026608775,0.027001149,0.035024154,-0.007331974,0.049056877,0,1,0.834893486,0.118460508
47,9/30/2000,0.568402426,0.447129794,0.826519585,-0.00705004,1.079724421,1.212453784,-0.581394901,-0.581394901,0.715119128,0.672609326,0.795745294,0.497187464,0.859867542,0.887330638,0.280487167,0.280487167,1,0.017011191,0.033488719,0.053092183,0.040418129,0.034989647,0,0,0.672609326,0.100184212
48,12/31/2000,0.568402426,0.264132477,0.734822257,-0.11301003,0.10483298,0.79585401,-0.581394901,-0.581394901,0.715119128,0.60416108,0.768776125,0.455011302,0.54174583,0.786941553,0.280487167,0.280487167,1,0.013675676,0.030996283,0,0.011634986,0.027044101,0,0,0.60416108,0.01890819
49,3/31/2001,0.568402426,0.758897815,1.008282265,-0.511059108,-0.70519665,0.204780948,1.705425043,-0.581394901,0.715119128,0.776043157,0.843340513,0.304654834,0.240343933,0.581128364,0.955942409,0.280487167,1,0.022693825,0.038429231,-0.199445983,-0.012280702,0.015770935,1,0,0.776043157,0.034316203
50,6/30/2001,0.568402426,0.810938555,0.715404487,-0.592271986,1.261544354,1.134208404,-0.581394901,1.705425043,0.715119128,0.791299521,0.76282043,0.276834236,0.896443605,0.87164643,0.280487167,0.955942409,1,0.023642378,0.030468487,-0.240138409,0.045786264,0.033497322,0,1,0.791299521,0.174029046
51,9/30/2001,0.568402426,-0.026158837,0.373008119,-0.380203797,-1.235228798,1.45944297,-0.581394901,-0.581394901,0.715119128,0.489565324,0.645428799,0.35189707,0.108372682,0.927778387,0.280487167,0.280487167,1,0.008384501,0.021161771,-0.133879781,-0.027929615,0.039700317,0,0,0.489565324,-0.067591455
52,12/31/2001,0.568402426,0.099443309,0.110592381,-0.908381519,0.006649378,2.668714533,-0.581394901,-0.581394901,0.715119128,0.539606851,0.544030205,0.181838343,0.502652698,0.996192893,0.280487167,0.280487167,1,0.010673867,0.014029019,-0.398527864,0.008736168,0.062763995,0,0,0.539606851,-0.035718588
53,3/31/2002,0.568402426,1.239455271,0.577579842,-0.30840048,2.448531173,0.006313236,1.705425043,-0.581394901,0.715119128,0.892411528,0.71822609,0.378888808,0.992827999,0.5025186,0.955942409,0.280487167,1,0.031453005,0.026722259,-0.097902099,0.080831409,0.011985684,1,0,0.892411528,0.138148512
54,6/30/2002,0.568402426,1.266327928,0.844005495,-0.120745592,-0.464152239,0.157022284,-0.581394901,1.705425043,0.715119128,0.897302149,0.800666833,0.451946273,0.321269339,0.562386357,0.280487167,0.955942409,1,0.031942816,0.033964006,-0.003875971,-0.005163996,0.014860064,0,1,0.897302149,0.062116396
55,9/30/2002,0.568402426,0.396414783,0.978104783,-0.194549429,-1.907888193,0.194598425,-0.581394901,-0.581394901,0.715119128,0.654100469,0.835988749,0.422872848,0.028202834,0.577146332,0.280487167,0.280487167,1,0.016086802,0.037608974,-0.040856031,-0.04778952,0.01557673,0,0,0.654100469,-0.095802484
56,12/31/2002,0.568402426,0.288433467,0.666318959,-0.489494753,2.002723759,-0.205733792,-0.581394901,-0.581394901,0.715119128,0.613492524,0.747396375,0.312245734,0.977396526,0.41849943,0.280487167,0.280487167,1,0.014118614,0.029134287,-0.188640974,0.067669186,0.007941444,0,0,0.613492524,0.002752067
57,3/31/2003,0.568402426,0.97581774,0.444279228,-0.377450056,-1.135996287,-0.526315642,1.705425043,-0.581394901,0.715119128,0.835422604,0.671579641,0.352919587,0.127979059,0.299334458,0.955942409,0.280487167,1,0.026647651,0.023099,-0.132499995,-0.024999828,0.001827188,1,0,0.835422604,-0.051959613
58,6/30/2003,0.568402426,1.196126411,0.280809135,-0.314312873,0.87890913,0.61934153,-0.581394901,1.705425043,0.715119128,0.884176384,0.610571602,0.376641711,0.810274726,0.732154305,0.280487167,0.955942409,1,0.030663245,0.0186557,-0.100864556,0.034489166,0.023677589,0,1,0.884176384,0.127678653
59,9/30/2003,0.568402426,0.683951425,0.835786682,-0.324101495,-0.3010766,1.069256044,-0.581394901,-0.581394901,0.715119128,0.75299708,0.79836254,0.372930598,0.381678042,0.857522844,0.280487167,0.280487167,1,0.021327768,0.033740609,-0.105769231,-3.49E-04,0.032258526,0,0,0.75299708,-0.004755274
60,12/31/2003,0.568402426,0.890894935,1.947552839,-0.141623268,1.159721169,0.016118805,-0.581394901,-0.581394901,0.715119128,0.813507231,0.974265754,0.443688793,0.876918826,0.506430194,0.280487167,0.280487167,1,0.025099753,0.063959653,-0.014336914,0.04277999,0.0121727,0,0,0.813507231,0.06037965
61,3/31/2004,0.568402426,1.853847993,0.773165834,-0.11301003,2.064421519,-0.566240707,1.705425043,-0.581394901,0.715119128,0.968119545,0.780287878,0.455011302,0.980511116,0.285615081,0.955942409,0.280487167,1,0.042651617,0.032038505,0,0.069490779,0.001065722,1,0,0.968119545,0.122975825
